episode,reward,loss,epsilon,avg_delay,drops,steps
1,18.6447,0.000000,0.9950,4.518,0,3
2,-23.6549,0.000000,0.9900,6.092,0,6
3,-130.0641,0.000000,0.9851,7.189,0,14
4,-2.7842,0.000000,0.9801,6.960,0,4
5,19.2206,0.000000,0.9752,7.794,0,1
6,-4.0309,84.947742,0.9704,8.062,0,5
7,-223.5445,230.412725,0.9655,7.525,0,19
8,-405.2679,228.361636,0.9607,6.638,0,26
9,-1.1747,223.794474,0.9559,3.916,0,3
10,-49.9024,218.845581,0.9511,11.003,0,9
11,3.7223,293.298416,0.9464,6.388,1,2
12,-301.4514,245.783506,0.9416,6.027,0,22
13,-2.1913,200.299995,0.9369,5.478,0,4
14,-334.5343,212.691110,0.9322,6.319,0,25
15,19.1668,201.847473,0.9276,4.166,0,2
16,1.0646,184.245792,0.9229,7.871,1,5
17,19.5772,131.914795,0.9183,4.228,0,1
18,-5.5825,222.012977,0.9137,7.975,0,7
19,18.7599,228.912445,0.9092,6.200,0,2
20,6.8935,184.150476,0.9046,7.766,0,5
21,-232.0362,257.522584,0.9001,7.080,0,19
22,-368.0094,214.642996,0.8956,6.927,0,27
23,-149.7761,226.610695,0.8911,6.983,0,14
24,19.0737,225.958374,0.8867,9.263,0,1
25,8.7336,201.957443,0.8822,4.221,0,4
26,-5.2732,193.724442,0.8778,8.789,0,6
27,-119.4664,184.561180,0.8734,7.282,0,14
28,-576.7134,141.255409,0.8691,7.420,0,37
29,-111.6600,113.690437,0.8647,8.329,0,14
30,10.0000,109.279892,0.8604,0.000,0,1
31,-75.2979,222.410885,0.8561,6.622,0,9
32,9.5779,293.469971,0.8518,4.221,0,2
33,18.7654,233.953873,0.8475,12.346,0,1
34,-721.8274,210.712085,0.8433,6.543,1,43
35,-90.2368,171.628130,0.8391,7.874,0,13
36,18.1411,196.364632,0.8349,9.295,0,2
37,-128.1303,158.010724,0.8307,6.775,0,12
38,18.2320,154.864817,0.8266,5.893,0,3
39,-26.7511,140.910579,0.8224,6.137,0,11
40,-87.8076,147.069437,0.8183,7.808,0,10
41,-1.8902,250.198573,0.8142,6.301,0,3
42,-2.6857,209.787720,0.8102,6.714,0,4
43,19.0589,256.085457,0.8061,4.705,0,2
44,18.9739,221.154663,0.8021,10.261,0,1
