episode,reward,loss,epsilon,avg_delay,drops,steps
1,18.1481,0.000000,0.9950,9.259,0,2
2,17.8179,0.000000,0.9900,5.455,0,4
3,-64.4818,0.000000,0.9851,5.602,0,8
4,-4.8968,0.000000,0.9801,6.121,0,8
5,17.0947,0.000000,0.9752,5.811,0,5
6,-1.7950,0.000000,0.9704,5.983,0,3
7,19.0576,0.000000,0.9655,4.712,0,2
8,-545.6297,33.688847,0.9607,7.119,0,36
9,-25.7987,234.764694,0.9559,8.284,0,7
10,-5.5686,210.232824,0.9511,6.961,0,8
11,19.3679,176.851639,0.9464,6.321,0,1
12,-107.8592,176.797220,0.9416,7.859,0,10
13,-89.7638,171.445975,0.9369,13.948,0,7
14,-108.0142,168.279652,0.9322,6.679,0,12
15,-108.7643,161.798174,0.9276,6.260,0,14
16,-141.0563,158.841457,0.9229,5.506,1,11
17,-5.0721,164.387589,0.9183,7.246,0,7
18,-18.1003,191.517941,0.9137,6.201,1,5
19,-956.4451,168.064117,0.9092,8.677,0,50
20,-73.6561,136.008648,0.9046,9.140,0,7
21,-77.7803,208.310503,0.9001,8.645,0,10
22,-449.5970,175.597891,0.8956,7.537,0,29
23,-971.6223,174.179310,0.8911,7.906,0,50
24,-53.3690,154.252199,0.8867,5.615,0,9
25,19.0743,144.858887,0.8822,9.257,0,1
26,-96.0117,185.126230,0.8778,8.588,0,10
27,-89.0753,179.673275,0.8734,6.792,1,9
28,-982.2152,173.711236,0.8691,7.670,2,50
29,-64.0130,158.663449,0.8647,5.733,0,7
30,-256.2407,180.425264,0.8604,8.548,0,19
31,18.9658,288.606812,0.8561,10.342,0,1
32,19.0611,296.633652,0.8518,4.694,0,2
33,18.3149,293.456436,0.8475,8.426,0,2
34,-46.1760,227.699276,0.8433,6.862,0,9
35,-6.3674,244.294242,0.8391,7.075,0,9
36,-65.9398,225.176105,0.8349,7.425,0,8
37,-715.7715,211.044809,0.8307,7.890,1,42
38,17.9334,217.585052,0.8266,10.333,0,2
39,9.6825,208.866982,0.8224,3.175,0,2
40,-311.0800,214.202626,0.8183,8.523,0,21
41,9.6832,339.775330,0.8142,3.168,0,2
42,-84.3616,289.152384,0.8102,7.269,0,8
43,-160.1489,294.782452,0.8061,7.249,0,15
44,19.6812,266.566010,0.8021,3.188,0,1
45,10.0000,371.516144,0.7981,0.000,0,1
46,-47.6218,231.153160,0.7941,12.703,0,6
47,-186.5689,296.313989,0.7901,5.053,0,15
48,-470.0785,298.777463,0.7862,6.693,0,31
49,-212.7977,238.362157,0.7822,8.532,0,17
50,18.8599,235.848763,0.7783,5.701,0,2
51,-68.2574,434.071964,0.7744,9.175,0,9
52,19.6815,524.830322,0.7705,3.185,0,1
53,-22.0631,459.839806,0.7667,10.315,0,4
54,-216.0747,336.784108,0.7629,6.922,1,17
55,-159.4046,370.793911,0.7590,6.718,0,15
56,19.4786,387.536346,0.7553,5.214,0,1
57,-11.8037,332.938560,0.7515,6.012,0,4
58,-11.9827,439.361365,0.7477,4.957,0,5
59,18.2486,458.834045,0.7440,8.757,0,2
60,14.9468,362.655823,0.7403,10.106,0,5
61,-24.2218,402.656624,0.7366,5.277,0,8
62,6.6792,337.708445,0.7329,6.642,0,6
63,-213.2397,399.665794,0.7292,8.275,0,18
64,-282.6819,374.497408,0.7256,9.755,0,20
65,-104.7764,340.216719,0.7219,5.970,0,10
66,-64.6227,361.412916,0.7183,5.136,0,9
67,16.1657,480.003473,0.7147,7.669,0,5
68,-365.1494,403.061445,0.7112,6.587,0,24
69,-2.8252,426.859919,0.7076,4.709,0,6
70,-938.0560,401.969779,0.7041,6.525,0,50
71,-53.9592,399.959400,0.7005,5.656,0,8
72,-314.0067,461.093267,0.6970,6.367,0,22
73,7.4195,558.272690,0.6936,8.602,0,4
74,18.4229,500.864431,0.6901,5.257,0,3
75,-422.0637,464.695588,0.6866,6.349,0,26
76,-2.0987,410.389638,0.6832,6.996,0,3
77,-501.6619,412.298286,0.6798,8.023,0,31
78,-168.4461,420.023204,0.6764,10.558,0,12
79,-36.9548,427.870782,0.6730,7.728,0,10
80,-419.4353,452.795739,0.6696,8.450,0,27
81,-35.6942,472.201085,0.6663,9.490,0,7
82,-24.6557,413.159326,0.6630,9.311,0,7
83,-93.3005,385.147259,0.6597,6.601,0,8
84,-43.2777,535.038239,0.6564,5.463,0,6
85,-118.4287,483.783299,0.6531,7.024,0,13
86,19.4840,931.873962,0.6498,5.160,0,1
87,-74.3596,577.722246,0.6466,5.449,0,9
88,-996.2605,499.654866,0.6433,9.542,0,50
89,-61.0329,415.705989,0.6401,5.165,0,6
90,-44.9844,551.073276,0.6369,6.230,0,10
91,-366.8267,573.132697,0.6337,8.448,1,22
92,-627.4397,575.370244,0.6306,7.267,0,35
93,-23.4141,519.691602,0.6274,6.828,0,7
94,-459.0261,598.071090,0.6243,7.928,0,28
95,19.4834,674.315918,0.6211,5.166,0,1
96,17.9308,841.903585,0.6180,6.897,0,3
97,-238.1202,561.785131,0.6149,6.767,0,17
98,-242.0845,618.748522,0.6119,6.948,0,13
99,-55.9030,659.127244,0.6088,7.379,0,11
100,-387.6034,547.315935,0.6058,12.574,0,21
101,-94.4714,716.428665,0.6027,8.943,0,8
102,-52.8193,570.102454,0.5997,7.048,0,7
103,19.4806,842.676208,0.5967,5.194,0,1
104,10.0000,292.470551,0.5937,0.000,0,1
105,-262.5920,668.215283,0.5908,6.627,0,20
106,-26.6104,537.416155,0.5878,9.443,0,7
107,-14.8564,538.863419,0.5849,9.713,0,6
108,-943.5882,625.810570,0.5820,7.464,0,50
109,-187.7852,680.279646,0.5790,7.077,0,15
110,-204.7805,610.174995,0.5762,5.312,0,13
111,-11.3438,811.138391,0.5733,6.719,0,5
112,-2.6194,498.971771,0.5704,6.549,0,4
113,-764.1251,750.214662,0.5676,5.650,0,40
114,-318.5554,815.383607,0.5647,5.704,0,20
115,-481.8292,792.632683,0.5619,6.226,0,28
116,-180.8210,768.118359,0.5591,6.365,0,18
117,-319.4422,732.725553,0.5563,6.877,1,22
118,-42.2422,669.146371,0.5535,7.242,1,10
119,-23.3101,530.213266,0.5507,6.620,0,5
120,-115.3039,578.294821,0.5480,7.577,0,10
121,-126.4618,623.980243,0.5452,5.874,0,13
122,-1.6041,1532.401408,0.5425,5.347,0,3
123,-85.8965,921.968935,0.5398,8.424,0,9
124,16.9007,472.566193,0.5371,10.331,0,3
125,-211.6711,706.046602,0.5344,6.484,0,18
126,10.0000,758.106934,0.5318,0.000,0,1
127,19.0561,803.873444,0.5291,4.719,0,2
128,-64.6867,820.729540,0.5264,6.695,0,9
129,19.2779,623.354675,0.5238,7.221,0,1
130,-4.2610,674.356825,0.5212,6.087,0,7
131,-2.4753,1050.406657,0.5186,8.251,0,3
132,18.4246,362.593445,0.5160,5.251,0,3
133,18.9723,1490.438721,0.5134,10.277,0,1
134,-803.4125,970.894004,0.5108,4.674,1,38
135,-131.3376,814.124456,0.5083,7.042,1,12
136,8.2382,976.888046,0.5058,5.873,0,4
137,-599.3701,819.773674,0.5032,7.450,0,34
138,19.3785,972.728516,0.5007,6.215,0,1
139,-66.3773,655.905452,0.4982,9.110,0,7
140,-35.4641,572.296985,0.4957,13.660,0,5
141,9.2786,790.104980,0.4932,7.214,0,2
142,-96.5015,645.483539,0.4908,9.288,0,10
143,-157.1943,1093.716363,0.4883,6.540,0,14
144,-324.0748,748.442672,0.4859,7.037,0,21
145,-469.2880,827.266392,0.4834,7.715,0,30
146,18.4567,1614.174072,0.4810,15.433,0,1
147,9.3647,772.365011,0.4786,3.177,0,3
148,-243.1123,833.019843,0.4762,6.225,0,13
149,19.1647,1493.316040,0.4738,8.353,0,1
150,-200.3179,786.780755,0.4715,3.179,0,9
151,19.2370,462.784912,0.4691,7.630,0,1
152,-453.5557,881.594959,0.4668,10.695,1,21
153,-104.8924,709.522238,0.4644,6.989,0,11
154,-114.6476,887.621802,0.4621,6.639,0,10
155,18.1086,1073.087708,0.4598,6.305,0,3
156,-340.3026,915.672620,0.4575,5.892,1,19
157,9.2459,603.397797,0.4552,7.541,0,2
158,-3.6126,747.742554,0.4529,9.031,0,6
159,9.6848,691.722290,0.4507,3.152,0,2
160,-35.9786,930.863169,0.4484,11.957,0,6
161,8.4935,721.573265,0.4462,5.022,0,4
162,-63.0207,1090.632774,0.4440,5.034,0,8
163,-52.0953,589.880566,0.4417,5.238,0,5
164,19.4841,1506.603149,0.4395,5.159,0,1
165,19.6826,321.283600,0.4373,3.174,0,1
166,18.4504,1271.508820,0.4351,7.748,0,2
167,-68.0812,1053.640076,0.4330,10.102,0,10
168,-3.2093,1031.884659,0.4308,8.023,0,4
169,19.5797,723.833618,0.4286,4.203,0,1
170,-388.5946,937.276030,0.4265,6.139,0,22
171,10.0000,563.461060,0.4244,0.000,0,1
172,-393.5269,826.838050,0.4223,7.054,0,18
173,18.4929,1111.404277,0.4201,5.024,0,3
174,17.1177,775.867310,0.4180,9.608,0,3
175,-346.1079,860.344285,0.4159,8.726,0,17
176,16.8940,1074.300374,0.4139,10.353,0,3
177,-117.6926,1100.267873,0.4118,6.993,0,12
178,-80.8294,850.128162,0.4097,8.294,0,5
179,-474.2659,1018.232861,0.4077,7.110,0,23
180,9.3772,652.185822,0.4057,6.228,0,2
181,-1.2305,812.822561,0.4036,12.305,0,3
182,-795.7225,983.148274,0.4016,7.153,0,35
183,-1.2312,655.330017,0.3996,12.312,0,3
184,19.6830,516.971191,0.3976,3.170,0,1
185,-2.0571,1194.833282,0.3956,10.286,0,4
186,19.3727,857.339661,0.3936,6.273,0,1
187,-667.2278,1128.274073,0.3917,7.831,0,35
188,10.0000,1451.226440,0.3897,0.000,0,1
189,-163.2849,1120.847658,0.3878,10.219,0,14
190,19.3676,1121.891724,0.3858,6.324,0,1
191,18.9687,490.843231,0.3839,10.313,0,1
192,18.4409,957.052979,0.3820,7.795,0,2
193,-215.1180,946.702652,0.3801,5.687,0,14
194,8.4461,784.844340,0.3782,7.770,0,3
195,-574.7256,1098.651520,0.3763,8.181,0,30
196,18.4511,1894.024292,0.3744,7.744,0,2
197,10.0000,1132.704834,0.3725,0.000,0,1
198,-66.1201,1344.664265,0.3707,7.650,0,8
199,19.6833,645.649353,0.3688,3.167,0,1
200,19.4813,547.451843,0.3670,5.187,0,1
