episode,reward,loss,epsilon,avg_delay,drops,steps
1,-90.7299,0.000000,0.9950,9.754,0,11
2,-44.8911,0.000000,0.9900,6.987,0,7
3,-310.0412,110.041718,0.9851,6.540,1,23
4,-185.7024,260.785722,0.9801,6.689,1,16
5,-380.3945,234.244183,0.9752,7.284,0,28
6,-45.9782,207.695025,0.9704,9.964,0,6
7,-194.6762,169.829732,0.9655,8.633,0,17
8,-3.4323,127.589716,0.9607,6.865,0,5
9,18.7273,161.511040,0.9559,6.364,0,2
10,18.2251,169.847336,0.9511,5.916,0,3
11,19.0758,354.137115,0.9464,9.242,0,1
12,-170.3599,296.840553,0.9416,6.907,0,15
13,-392.8624,215.447230,0.9369,5.592,0,25
14,-226.6035,214.618375,0.9322,7.252,1,18
15,0.0000,170.266113,0.9276,0.000,0,2
16,-220.8627,216.126990,0.9229,7.242,0,18
17,-157.3160,203.381365,0.9183,5.628,0,14
18,-229.5650,231.569544,0.9137,5.978,0,18
19,-452.0223,192.667097,0.9092,6.328,0,27
20,-371.2178,180.982031,0.9046,8.629,0,21
21,9.2491,309.023509,0.9001,3.754,0,3
22,-11.5063,333.377920,0.8956,7.532,0,3
23,19.1740,321.896149,0.8911,8.260,0,1
24,-567.4600,236.561459,0.8867,7.275,0,33
25,8.6480,286.999049,0.8822,6.760,0,3
26,-93.4638,231.192272,0.8778,6.928,0,8
27,-167.3700,201.889798,0.8734,8.189,0,13
28,-71.6590,197.033245,0.8691,8.295,0,7
29,-56.7302,197.955357,0.8647,8.413,0,9
30,-62.5809,177.355451,0.8604,8.603,0,7
31,17.5032,307.500183,0.8561,8.323,0,3
32,10.0000,240.453888,0.8518,0.000,0,1
33,8.5439,286.909068,0.8475,7.281,0,3
34,-22.1813,239.514670,0.8433,7.271,0,5
35,9.6784,259.060410,0.8391,3.216,0,2
36,17.9218,311.727885,0.8349,6.927,0,3
37,-15.3221,243.563532,0.8307,7.603,0,8
38,-274.2487,234.707135,0.8266,7.081,0,15
39,-553.3766,187.022231,0.8224,7.040,0,31
40,19.0732,182.023727,0.8183,9.268,0,1
41,18.1483,316.271744,0.8142,9.258,0,2
42,-2.1759,310.078836,0.8102,7.253,0,5
43,-158.2467,270.715159,0.8061,6.344,0,14
44,-13.8539,291.705832,0.8021,6.423,0,7
45,-540.8317,261.141057,0.7981,6.944,0,34
46,8.7593,212.499451,0.7941,6.204,0,3
47,-61.5566,188.853542,0.7901,5.189,0,7
48,-318.4393,203.910884,0.7862,6.492,0,20
49,-11.4431,222.974167,0.7822,7.215,0,3
50,-53.4111,191.794577,0.7783,6.822,0,8
51,18.8426,274.799332,0.7744,5.787,0,2
52,-177.6064,344.996675,0.7705,6.339,0,15
53,-0.5177,316.623912,0.7667,5.177,0,3
54,-125.6921,285.370078,0.7629,8.132,0,11
