episode,reward,loss,epsilon,avg_delay,drops,steps
1,-169.7785,0.000000,0.9950,5.432,0,18
2,-235.1651,0.000000,0.9900,7.583,0,20
3,-532.6637,76.126959,0.9851,5.520,1,34
4,-3.3639,269.743937,0.9801,5.606,0,6
5,-906.0677,149.567108,0.9752,7.361,0,50
6,18.1077,101.483673,0.9704,6.308,0,3
7,9.2761,110.082771,0.9655,7.239,0,2
8,-65.3677,121.969302,0.9607,7.668,0,9
9,-483.3198,124.090072,0.9559,7.010,0,28
10,-12.8762,126.931401,0.9511,4.794,0,7
11,-33.0619,282.212836,0.9464,7.655,0,5
12,-30.5145,196.294426,0.9416,5.145,0,4
13,-52.9849,211.638751,0.9369,9.950,0,6
14,18.6155,242.892296,0.9322,6.923,0,2
15,18.7605,168.530373,0.9276,6.197,0,2
16,7.2120,240.994039,0.9229,13.940,0,3
17,-613.7960,192.875476,0.9183,8.172,1,33
18,19.2811,256.040375,0.9137,7.189,0,1
19,19.2819,160.534958,0.9092,7.181,0,1
20,-82.2644,196.991445,0.9046,7.548,0,9
21,-33.2194,330.986820,0.9001,6.439,0,8
22,-51.1511,350.465068,0.8956,3.837,0,6
23,-64.5834,326.122120,0.8911,7.639,0,8
24,-137.4394,317.930678,0.8867,7.439,0,13
25,-13.3146,307.610163,0.8822,6.629,0,6
26,-11.3519,343.942734,0.8778,4.506,0,4
27,9.2788,370.081024,0.8734,7.212,0,2
28,-136.8613,275.084290,0.8691,6.861,0,13
29,-111.7777,313.042048,0.8647,5.926,0,8
30,-292.2585,359.495402,0.8604,7.259,1,17
31,7.0963,325.646738,0.8561,7.259,0,5
32,-109.1987,382.083585,0.8518,8.362,0,13
33,10.0000,263.667419,0.8475,0.000,0,1
34,-11.2551,453.856995,0.8433,6.275,0,3
35,-489.8326,410.420819,0.8391,10.438,0,28
36,-45.5103,401.300268,0.8349,9.184,0,6
37,18.2298,468.803752,0.8307,5.901,0,3
38,-11.4667,436.853998,0.8266,3.667,0,5
39,-421.2742,404.669951,0.8224,6.510,1,28
40,-83.7295,366.984251,0.8183,6.216,0,8
41,16.2353,567.457434,0.8142,7.529,0,5
42,-46.5366,633.018566,0.8102,8.171,0,8
43,-471.5619,537.793277,0.8061,6.955,0,32
44,19.4841,378.848663,0.8021,5.159,0,1
45,-130.6483,451.842022,0.7981,8.191,0,13
46,17.5097,452.097458,0.7941,6.226,0,4
47,-586.5528,539.940907,0.7901,6.988,0,38
48,-23.5275,616.445231,0.7862,5.879,0,6
49,19.0707,657.352844,0.7822,9.293,0,1
50,19.1671,566.140564,0.7783,8.329,0,1
51,-3.3338,572.373093,0.7744,5.556,0,6
52,6.4468,590.540578,0.7705,7.106,0,6
53,-880.9051,540.217004,0.7667,6.307,0,50
54,-170.5596,578.802359,0.7629,7.543,0,14
55,-108.1898,464.010587,0.7590,8.190,0,12
56,-47.6834,448.184850,0.7553,8.537,0,9
57,19.6824,644.256836,0.7515,3.176,0,1
58,-16.1126,533.521168,0.7477,8.732,0,8
59,19.2449,184.439728,0.7440,7.551,0,1
60,-94.8938,466.595285,0.7403,6.991,0,10
61,-223.5280,564.275056,0.7366,9.019,0,18
62,-35.1899,593.200734,0.7329,6.487,0,9
63,-956.9705,532.875321,0.7292,6.578,0,50
64,18.7502,601.359070,0.7256,6.249,0,2
65,-322.4298,563.768405,0.7219,6.905,0,21
66,-84.6690,560.073541,0.7183,5.836,0,10
67,18.2467,603.488297,0.7147,8.766,0,2
68,-951.9789,530.080287,0.7112,7.614,0,50
69,-31.0617,598.421178,0.7076,3.539,0,6
70,-25.3502,424.558142,0.7041,10.700,0,5
71,18.3292,479.493225,0.7005,5.569,0,3
72,-385.8814,641.248901,0.6970,6.617,0,27
73,-553.8888,531.287715,0.6936,7.310,0,31
74,-3.4928,645.185893,0.6901,11.643,0,3
75,19.4833,775.515808,0.6866,5.167,0,1
76,-23.7543,642.974745,0.6832,7.509,0,7
77,-26.8317,724.480852,0.6798,7.591,0,9
78,19.0615,582.042374,0.6764,4.692,0,2
79,9.5823,614.250000,0.6730,4.177,0,2
80,-142.6960,668.740311,0.6696,9.766,0,14
81,-16.5916,614.697922,0.6663,3.979,1,4
82,19.5821,749.481689,0.6630,4.179,0,1
83,-389.9665,651.325911,0.6597,4.983,0,24
84,-4.4533,845.535919,0.6564,8.907,0,5
85,-837.8193,686.508407,0.6531,6.983,1,48
86,-24.9662,757.246268,0.6498,7.095,0,7
87,-2.4163,634.017159,0.6466,6.041,0,4
88,10.0000,722.817505,0.6433,0.000,0,1
89,-21.6790,632.595398,0.6401,8.395,0,4
90,-537.4617,738.963303,0.6369,8.315,0,31
91,-123.8615,676.262851,0.6337,6.436,0,10
92,-725.0349,693.556441,0.6306,9.397,0,35
93,-66.7459,812.130134,0.6274,7.495,0,9
94,-298.9152,622.157607,0.6243,8.224,0,23
95,8.2467,685.015889,0.6211,8.766,0,3
