episode,reward,loss,epsilon,avg_delay,drops,steps
1,18.8663,0.000000,0.9950,5.669,0,2
2,-65.7056,0.000000,0.9900,7.132,0,8
3,18.3383,0.000000,0.9851,8.309,0,2
4,-130.3984,0.000000,0.9801,7.999,0,13
5,-2.0887,0.000000,0.9752,6.962,0,3
6,-66.1191,0.000000,0.9704,7.649,0,8
7,18.8595,0.000000,0.9655,5.703,0,2
8,-178.8201,0.000000,0.9607,5.880,0,16
9,19.6816,0.000000,0.9559,3.184,0,1
10,18.7258,0.000000,0.9511,6.371,0,2
11,16.4978,0.000000,0.9464,8.756,0,4
12,19.0750,0.000000,0.9416,9.250,0,1
13,-160.8334,230.058302,0.9369,6.482,1,11
14,-80.7207,261.160345,0.9322,7.207,0,5
15,9.1692,292.464294,0.9276,8.308,0,2
16,-75.9880,256.177300,0.9229,7.485,0,9
17,18.1374,231.148046,0.9183,6.209,0,3
18,-131.6535,226.847295,0.9137,8.268,0,9
19,-313.4850,226.585499,0.9092,8.428,0,22
20,-22.2810,218.401825,0.9046,11.405,0,4
21,-55.6194,296.282835,0.9001,7.024,0,9
22,-2.0964,302.085907,0.8956,5.241,0,4
23,-77.1874,279.585606,0.8911,7.986,0,10
24,9.4799,284.942184,0.8867,5.201,0,2
25,-22.9930,270.661107,0.8822,7.482,0,6
26,-35.4991,271.176169,0.8778,9.165,0,7
27,-871.4776,268.769177,0.8734,7.565,1,46
28,-31.5522,250.342228,0.8691,5.174,0,4
29,-559.9824,273.377470,0.8647,6.890,0,33
30,-2.8245,235.253403,0.8604,5.649,0,5
31,-181.5155,367.677379,0.8561,7.197,0,17
32,-42.9132,385.063612,0.8518,5.826,0,7
33,-170.5888,335.367517,0.8475,7.563,0,16
34,10.0000,410.694092,0.8433,0.000,0,1
35,-276.7611,320.855307,0.8391,8.822,0,19
36,8.9505,379.707906,0.8349,5.247,0,3
37,19.3697,289.403625,0.8307,6.303,0,1
38,-1084.1336,344.098228,0.8266,8.045,0,50
39,19.2765,538.437500,0.8224,7.235,0,1
40,-23.5180,283.759506,0.8183,7.036,0,5
41,-31.5608,432.528389,0.8142,5.203,0,4
42,-1.6699,474.262317,0.8102,5.566,0,5
43,-333.0956,394.683839,0.8061,6.892,0,23
44,-51.7975,450.979935,0.8021,3.595,0,6
45,-280.0837,410.281853,0.7981,5.932,0,20
46,-45.4999,380.593262,0.7941,6.875,0,8
47,7.7075,371.548111,0.7901,5.731,0,5
48,-449.1665,407.631069,0.7862,6.746,1,27
49,-30.4304,420.074417,0.7822,4.304,0,4
50,-138.6160,403.456604,0.7783,7.833,0,14
51,-661.4819,461.702014,0.7744,7.161,0,38
52,-340.3581,413.695183,0.7705,6.905,0,22
53,-752.5273,414.028979,0.7667,5.928,0,43
54,-107.3442,415.593314,0.7629,8.160,0,11
55,-306.8266,401.835179,0.7590,4.551,0,19
56,-167.3939,367.374114,0.7553,6.162,0,16
57,-78.2345,363.423285,0.7515,13.724,0,7
58,-718.0214,417.906392,0.7477,7.509,0,38
59,-331.0330,366.280566,0.7440,6.490,0,21
60,-275.2076,365.841761,0.7403,8.004,0,21
61,-175.1638,428.407327,0.7366,10.109,0,15
62,-58.9664,467.105596,0.7329,6.611,1,6
63,-275.5668,460.940818,0.7292,6.604,1,19
64,-363.0297,457.009998,0.7256,7.665,0,24
65,-65.7990,483.640018,0.7219,9.665,0,8
66,-256.2647,457.784974,0.7183,9.567,0,19
67,-141.0351,445.244560,0.7147,5.175,0,8
68,18.3169,442.179092,0.7112,8.416,0,2
69,-244.1973,422.718642,0.7076,8.873,0,19
70,18.4570,432.388763,0.7041,15.430,0,1
71,-20.5170,408.668677,0.7005,5.170,0,5
72,7.6179,390.853725,0.6970,7.940,0,4
73,9.4766,667.978333,0.6936,5.234,0,2
74,-12.0744,479.433960,0.6901,6.915,0,6
75,-20.5201,474.518941,0.6866,5.201,0,3
76,-13.3051,456.904199,0.6832,8.263,0,5
77,-42.5529,442.422587,0.6798,6.382,0,6
78,10.0000,918.940002,0.6764,0.000,0,1
79,-421.6072,566.208079,0.6730,6.109,0,26
80,18.6524,385.897156,0.6696,6.738,0,2
81,-11.1581,554.241959,0.6663,3.860,0,4
82,-226.3792,508.379578,0.6630,7.088,0,13
83,-32.0739,508.560710,0.6597,6.913,0,6
84,9.4819,957.236115,0.6564,5.181,0,2
85,-217.6343,626.779710,0.6531,5.453,0,15
86,-415.2191,588.108402,0.6498,6.341,0,26
87,-208.4725,512.964830,0.6466,7.060,0,16
88,8.4560,593.330200,0.6433,15.440,0,2
89,-2.1941,340.720937,0.6401,7.314,0,3
90,10.0000,333.863373,0.6369,0.000,0,1
91,-63.0013,765.044085,0.6337,6.003,0,7
92,18.9233,735.430298,0.6306,5.384,0,2
93,-3.3047,600.306862,0.6274,8.262,0,4
94,-112.9544,491.496835,0.6243,4.221,0,10
95,-97.2287,658.447693,0.6211,7.229,0,11
96,17.9386,496.327515,0.6180,10.307,0,2
97,-54.6828,653.395939,0.6149,6.690,0,8
98,-757.9815,602.493923,0.6119,8.868,0,34
99,8.4407,732.147171,0.6088,5.198,0,4
100,-23.0942,641.552078,0.6058,7.735,0,4
101,19.2781,385.928345,0.6027,7.219,0,1
102,18.4581,529.573547,0.5997,15.419,0,1
103,18.2210,791.574829,0.5967,5.930,0,3
104,-1027.6967,589.133928,0.5937,5.363,0,50
105,17.8365,484.930298,0.5908,10.817,0,2
