episode,reward,loss,epsilon,avg_delay,drops,steps
1,19.1799,0.000000,0.9950,8.201,0,1
2,-3.0894,0.000000,0.9900,7.724,0,4
3,-3.3725,0.000000,0.9851,5.621,0,6
4,-48.6860,0.000000,0.9801,8.686,0,10
5,19.4788,0.000000,0.9752,5.212,0,1
6,-298.0840,0.000000,0.9704,7.535,0,24
7,15.9614,0.000000,0.9655,8.077,0,5
8,-2.6938,0.000000,0.9607,6.735,0,4
9,-66.2124,0.000000,0.9559,7.766,0,8
10,-799.7509,212.025158,0.9511,7.829,0,45
11,-985.4814,221.464586,0.9464,6.370,0,50
12,-286.1589,173.519287,0.9416,8.079,0,21
13,-295.2797,165.736378,0.9369,7.640,0,22
14,-86.2485,173.584846,0.9322,7.811,0,8
15,19.1658,98.096664,0.9276,8.342,0,1
16,8.8481,135.498431,0.9229,5.760,0,3
17,-381.9802,179.098695,0.9183,5.990,0,25
18,-164.0639,175.061263,0.9137,5.080,0,12
19,-162.8619,190.249595,0.9092,6.552,1,14
20,-1.1715,183.051857,0.9046,5.857,0,4
21,-836.4463,259.113780,0.9001,6.612,0,47
22,-168.1895,232.848834,0.8956,5.850,0,14
23,-336.6181,226.270809,0.8911,8.309,0,24
24,7.3073,202.271446,0.8867,8.976,0,4
25,-330.2969,257.296616,0.8822,7.355,0,22
26,-432.3886,250.796913,0.8778,8.259,0,25
27,8.4549,215.742905,0.8734,15.451,0,2
28,-25.9944,278.902740,0.8691,7.493,0,8
29,-271.2217,233.216650,0.8647,7.481,0,19
30,-267.7538,243.441767,0.8604,7.754,0,18
31,-115.6974,308.535020,0.8561,7.122,0,13
32,-187.9781,306.105350,0.8518,7.253,0,13
33,8.6549,392.186564,0.8475,6.725,0,3
34,-24.0664,278.946539,0.8433,8.133,0,5
35,-363.8117,273.599884,0.8391,6.577,0,24
36,19.4823,377.509827,0.8349,5.177,0,1
37,-64.8431,330.440890,0.8307,9.686,0,7
38,18.8602,346.101242,0.8266,5.699,0,2
39,17.8296,355.823250,0.8224,10.852,0,2
40,-250.6105,337.764011,0.8183,7.074,0,19
41,-399.3012,377.605071,0.8142,7.155,0,24
42,17.8259,306.017354,0.8102,7.247,0,3
43,-261.9675,388.778535,0.8061,6.299,0,20
44,-198.1133,388.919389,0.8021,6.241,0,16
45,-167.9449,328.019261,0.7981,6.111,0,15
46,-391.7334,419.799423,0.7941,5.180,1,22
47,19.1646,373.697662,0.7901,4.177,0,2
48,-159.9007,376.873161,0.7862,9.901,0,11
49,-244.6717,368.473941,0.7822,7.786,0,16
50,-178.4153,439.107929,0.7783,7.650,0,14
51,-379.8749,504.884781,0.7744,5.809,0,24
52,-158.8514,560.368078,0.7705,7.376,0,13
53,-538.1762,473.895795,0.7667,6.814,0,27
54,-149.5593,624.299550,0.7629,6.828,0,14
55,-107.9578,564.499383,0.7590,6.121,0,13
56,-295.4399,462.793907,0.7553,6.433,0,24
57,-2.3848,521.457485,0.7515,5.962,0,4
58,7.8995,518.980598,0.7477,7.002,0,4
59,-352.7695,500.934708,0.7440,5.804,0,24
60,-326.7290,513.859897,0.7403,7.966,0,24
61,-86.8874,687.341626,0.7366,6.887,0,10
62,-298.7716,498.634983,0.7329,8.607,1,21
63,-99.3908,531.597157,0.7292,9.391,0,11
64,-336.5019,479.586302,0.7256,7.501,0,24
65,-25.1779,490.346739,0.7219,7.397,0,7
66,-187.7331,546.768067,0.7183,6.444,0,16
67,-448.9081,513.813868,0.7147,8.595,0,27
68,-2.1891,499.532265,0.7112,5.473,0,4
69,-0.9416,673.670151,0.7076,4.708,0,4
70,10.0000,293.563416,0.7041,0.000,0,1
71,-540.2684,578.864810,0.7005,7.335,0,29
72,-65.0027,675.467940,0.6970,5.559,0,9
73,-85.6752,524.099750,0.6936,9.459,0,10
74,9.6829,809.592957,0.6901,3.171,0,2
75,-11.1569,511.323792,0.6866,3.856,0,4
76,18.7353,547.602875,0.6832,6.324,0,2
77,-434.1220,717.505797,0.6798,6.725,0,27
78,-202.7578,622.834148,0.6764,6.465,1,14
79,-306.3918,722.266069,0.6730,5.327,0,20
80,-214.8853,601.609111,0.6696,6.107,0,15
81,-42.1948,586.807129,0.6663,5.487,0,6
82,-132.2144,649.267551,0.6630,5.536,0,9
83,-333.3880,690.715197,0.6597,5.647,0,17
84,18.4272,584.736216,0.6564,5.243,0,3
85,10.0000,837.081665,0.6531,0.000,0,1
86,18.8508,824.466675,0.6498,5.746,0,2
87,-141.8845,817.267712,0.6466,4.711,0,10
88,-567.3397,709.608050,0.6433,6.422,0,34
89,-1.3531,633.995056,0.6401,4.510,0,3
90,-63.4186,874.003296,0.6369,5.698,0,6
91,-4.7969,649.999712,0.6337,6.853,0,7
92,-12.2220,702.075772,0.6306,5.555,0,5
93,-388.8036,679.823242,0.6274,9.782,0,21
94,17.4166,453.574585,0.6243,8.611,0,3
95,-970.0519,707.733277,0.6211,7.155,0,50
96,-273.4587,693.636683,0.6180,4.941,0,16
97,-88.6747,700.786278,0.6149,6.673,0,13
98,-25.6931,630.542132,0.6119,8.133,0,7
99,-109.0891,675.740802,0.6088,6.992,0,13
100,16.8047,1018.514628,0.6058,10.651,0,3
101,-66.9708,779.700577,0.6027,6.971,0,10
102,-497.0432,804.591751,0.5997,6.680,1,33
103,-539.5820,703.748358,0.5967,5.934,0,33
104,-397.7414,845.526961,0.5937,7.392,0,24
105,-3.2356,827.657861,0.5908,6.471,0,5
106,-44.7759,752.490119,0.5878,6.823,0,9
107,-88.0152,665.782567,0.5849,5.725,0,14
108,-3.7495,971.579203,0.5820,6.249,0,6
109,-230.2521,781.771586,0.5790,7.323,0,18
110,-503.3414,718.457081,0.5762,6.353,0,30
111,-21.1402,825.983856,0.5733,5.701,0,4
112,18.8620,839.928497,0.5704,5.690,0,2
113,-55.5141,925.279049,0.5676,6.893,0,9
114,-3.0185,1000.221875,0.5647,6.037,0,5
115,-66.3057,972.564159,0.5619,7.882,0,8
116,-892.5907,937.653434,0.5591,6.790,0,50
117,-65.4990,888.045158,0.5563,6.874,0,8
118,-86.4345,1021.548981,0.5535,6.435,0,12
119,18.7699,1087.008179,0.5507,12.301,0,1
120,18.1060,828.114929,0.5480,6.313,0,3
