episode,reward,loss,epsilon,avg_delay,drops,steps
1,-4.4213,0.000000,0.9950,8.843,0,5
2,-22.9538,0.000000,0.9900,5.908,0,5
3,-949.8916,185.844572,0.9851,6.794,0,50
4,-136.0145,306.144648,0.9801,7.518,0,11
5,-86.7006,245.684781,0.9752,6.701,0,10
6,6.9992,237.653415,0.9704,7.502,0,5
7,-583.2844,151.691022,0.9655,7.276,0,36
8,18.4276,162.529327,0.9607,5.241,0,3
9,-1027.2673,137.821867,0.9559,7.574,0,50
10,-325.1647,131.599243,0.9511,6.593,0,24
11,17.9296,380.511322,0.9464,6.901,0,3
12,19.3672,367.719269,0.9416,6.328,0,1
13,-550.8135,258.397841,0.9369,8.005,0,33
14,-75.9422,161.932114,0.9322,7.428,0,9
15,-231.7203,190.019385,0.9276,6.511,0,18
16,-136.7763,157.911606,0.9229,7.529,0,12
17,-13.4355,175.834078,0.9183,6.871,0,6
18,-329.7453,160.168175,0.9137,8.585,0,24
19,19.3784,195.912628,0.9092,6.216,0,1
20,18.9661,139.038330,0.9046,10.339,0,1
21,-65.0606,280.742834,0.9001,8.434,0,8
22,-97.6168,228.743994,0.8956,6.924,0,12
23,-2.3980,196.259922,0.8911,5.995,0,4
24,18.1998,239.579793,0.8867,6.001,0,3
25,-358.0388,213.230781,0.8822,7.516,0,26
26,-23.7077,158.410225,0.8778,7.415,0,5
27,-72.6417,198.550335,0.8734,7.642,1,11
28,7.4030,182.735919,0.8691,6.493,0,5
29,-463.8510,170.772640,0.8647,5.540,0,30
30,-1.3724,162.907471,0.8604,4.575,0,3
31,-23.8913,262.845218,0.8561,7.783,0,5
32,-135.2574,227.919402,0.8518,5.842,0,12
33,16.6865,244.536152,0.8475,8.284,0,4
34,-11.7802,230.252939,0.8433,4.450,0,5
35,19.6847,268.810059,0.8391,3.153,0,1
36,-3.1095,223.404214,0.8349,6.219,0,5
37,-3.4067,198.847463,0.8307,11.356,0,3
38,-217.4121,181.137730,0.8266,5.702,0,16
39,8.8625,184.098582,0.8224,5.687,0,3
40,-227.5412,175.095360,0.8183,9.232,0,20
41,17.4084,259.871572,0.8142,8.639,0,3
42,19.1754,376.324646,0.8102,8.246,0,1
43,-212.9821,277.101167,0.8061,7.212,0,18
44,18.6183,181.899147,0.8021,6.909,0,2
45,-192.5918,255.962159,0.7981,5.423,1,15
46,19.1592,198.225357,0.7941,4.204,0,2
47,18.8462,215.800842,0.7901,5.769,0,2
48,-114.4701,212.670102,0.7862,5.588,0,11
49,-2.8082,212.762264,0.7822,7.021,0,4
50,18.1325,220.317886,0.7783,9.337,0,2
51,-77.2046,324.501286,0.7744,10.292,0,8
52,-66.3260,255.972600,0.7705,7.029,0,9
53,-45.4752,268.399114,0.7667,9.125,0,6
54,17.9447,323.853218,0.7629,10.277,0,2
55,7.8022,298.425762,0.7590,7.326,0,4
56,-35.3601,293.524042,0.7553,13.400,0,5
57,19.1629,336.691254,0.7515,8.371,0,1
58,-11.8712,259.050159,0.7477,6.237,0,4
59,19.2802,162.938156,0.7440,7.198,0,1
60,-95.3983,249.419612,0.7403,7.712,0,10
61,-97.2596,292.652701,0.7366,6.600,0,12
62,-487.9446,235.832439,0.7329,7.178,0,30
63,18.9696,263.218628,0.7292,10.304,0,1
64,-442.2047,194.355977,0.7256,7.930,0,30
65,-83.8516,209.268483,0.7219,5.502,0,11
66,-1.9941,149.483030,0.7183,4.985,0,4
67,18.8481,161.421783,0.7147,5.760,0,2
68,-55.2907,161.794931,0.7112,7.558,0,8
69,19.5736,211.768250,0.7076,4.264,0,1
70,19.4824,167.294693,0.7041,5.176,0,1
71,-64.6257,318.082714,0.7005,6.608,0,7
72,-44.5726,239.549506,0.6970,6.532,0,7
73,8.9660,272.829361,0.6936,10.340,0,2
74,-171.0212,218.050829,0.6901,8.478,0,15
75,19.1667,262.722527,0.6866,4.166,0,2
76,9.6819,244.602867,0.6832,3.181,0,2
77,7.7214,221.762779,0.6798,7.595,0,4
78,19.4761,275.542969,0.6764,5.239,0,1
79,19.5819,276.650604,0.6730,4.181,0,1
80,16.9440,193.211346,0.6696,6.112,0,5
81,16.4970,155.232147,0.6663,8.758,0,4
82,18.9691,232.717255,0.6630,10.309,0,1
83,-124.8249,179.281391,0.6597,4.825,0,12
84,-52.7941,173.650907,0.6564,6.985,0,7
85,-109.1521,149.136543,0.6531,7.627,0,12
86,18.6044,160.169525,0.6498,6.978,0,2
87,18.9710,102.299240,0.6466,10.290,0,1
88,-13.3518,138.503551,0.6433,4.788,0,8
89,-3.3066,148.831532,0.6401,8.267,0,4
90,-69.3534,166.843770,0.6369,7.256,1,7
91,-23.8375,147.108967,0.6337,6.396,0,6
92,17.3202,170.215357,0.6306,8.933,0,3
93,-114.0968,140.696527,0.6274,5.121,0,11
94,-24.7565,144.265620,0.6243,7.927,0,6
95,19.1626,120.654228,0.6211,8.374,0,1
96,17.6144,135.696828,0.6180,7.952,0,3
97,9.6795,154.067566,0.6149,3.205,0,2
98,16.2991,123.357487,0.6119,9.252,0,4
99,-84.3281,137.562176,0.6088,8.656,0,7
100,-2.5060,135.127972,0.6058,6.265,0,4
101,-35.9286,122.884644,0.6027,6.587,0,10
102,18.7380,138.695328,0.5997,6.310,0,2
103,9.3708,110.777508,0.5967,6.292,0,2
104,10.0000,104.092270,0.5937,0.000,0,1
105,-21.0483,96.436535,0.5908,5.242,0,4
106,-0.4197,118.562185,0.5878,4.197,0,3
107,-42.2017,116.387403,0.5849,5.504,0,6
108,-3.4325,108.644781,0.5820,6.865,0,5
109,-86.0118,112.185679,0.5790,6.680,0,9
110,-50.5228,109.278496,0.5762,5.228,0,4
111,19.2794,126.903946,0.5733,7.206,0,1
112,-63.2994,119.047399,0.5704,10.998,0,7
113,-24.2379,101.772111,0.5676,7.063,0,6
114,8.4415,98.914797,0.5647,7.792,0,3
115,18.1367,99.904559,0.5619,6.211,0,3
116,-21.4684,104.446713,0.5591,4.895,0,5
117,4.5734,143.947830,0.5563,4.266,1,1
118,-23.7136,90.566263,0.5535,9.284,0,4
119,19.1734,73.549660,0.5507,8.266,0,1
120,19.5733,89.515396,0.5480,4.267,0,1
121,-92.9929,109.308818,0.5452,7.482,0,7
122,-42.7974,92.523294,0.5425,6.993,0,6
123,-2.2752,94.090498,0.5398,7.584,0,5
124,19.1637,86.759193,0.5371,8.363,0,1
125,18.8504,102.988121,0.5344,5.748,0,2
126,-22.3000,91.268399,0.5318,4.600,0,5
127,5.9743,93.775032,0.5291,10.064,0,5
128,19.1685,94.395226,0.5264,8.315,0,1
129,-3.2416,103.145790,0.5238,6.483,0,5
130,17.4118,98.146520,0.5212,8.627,0,3
131,8.4521,99.871656,0.5186,7.739,0,3
132,18.6442,78.807042,0.5160,4.519,0,3
133,18.8531,103.461143,0.5134,5.735,0,2
134,-13.9161,86.705286,0.5108,13.054,0,4
135,-176.2938,108.216305,0.5083,8.991,0,12
136,-104.7934,107.030592,0.5058,5.992,0,10
137,17.8916,87.935331,0.5032,7.028,0,3
138,19.5741,78.440941,0.5007,4.259,0,1
139,18.4598,111.110657,0.4982,15.402,0,1
140,-4.1889,95.768549,0.4957,8.378,0,5
141,10.0000,79.010712,0.4932,0.000,0,1
142,19.1677,106.816864,0.4908,8.323,0,1
143,0.0000,104.055298,0.4883,0.000,0,2
