episode,reward,loss,epsilon,avg_delay,drops,steps
1,-542.3346,32.287714,0.9950,6.980,0,34
2,7.9236,331.583633,0.9900,6.921,0,4
3,-146.9766,314.656535,0.9851,6.977,0,12
4,-14.8773,301.425655,0.9801,6.968,0,8
5,-273.1810,251.961847,0.9752,7.323,0,20
6,18.4550,242.855644,0.9704,7.725,0,2
7,-66.8453,203.844276,0.9655,6.223,0,11
8,17.1096,222.964620,0.9607,9.635,0,3
9,-281.9792,166.503925,0.9559,6.655,0,21
10,-428.4921,148.218208,0.9511,8.040,0,28
11,-11.6498,283.336909,0.9464,8.249,0,3
12,-215.8448,260.182688,0.9416,7.306,0,13
13,-225.5926,197.588721,0.9369,5.593,0,14
14,-218.5467,208.955463,0.9322,5.698,0,18
15,-433.1220,177.093453,0.9276,6.768,1,23
16,9.0747,154.471931,0.9229,9.253,0,2
17,19.6827,162.651993,0.9183,3.173,0,1
18,10.0000,212.760498,0.9137,0.000,0,1
19,-22.3760,199.209436,0.9092,7.920,0,5
20,-63.1481,176.538007,0.9046,6.296,0,7
21,-95.1090,301.642172,0.9001,5.677,0,10
22,18.4556,240.264374,0.8956,15.444,0,1
23,-117.1611,275.089109,0.8911,7.161,0,11
24,-34.8670,222.475858,0.8867,8.112,0,7
25,-52.0733,229.186651,0.8822,6.911,0,6
26,-342.7170,214.553957,0.8778,7.948,0,23
27,-36.4891,199.395697,0.8734,10.815,0,7
28,-45.9730,183.433151,0.8691,11.946,0,5
29,-4.9540,172.910416,0.8647,9.908,0,5
30,8.3388,161.520991,0.8604,8.306,0,3
31,-20.7229,244.416611,0.8561,7.229,0,3
32,9.1703,248.199394,0.8518,8.297,0,2
33,-359.4387,234.747348,0.8475,6.292,0,22
34,-23.2084,249.083878,0.8433,8.021,0,6
35,-11.9062,229.940094,0.8391,6.354,0,4
36,-355.5008,188.599595,0.8349,7.750,0,24
37,19.2795,161.617416,0.8307,7.205,0,1
38,0.0000,195.033989,0.8266,0.000,0,2
39,-3.6200,174.327347,0.8224,9.050,0,4
40,-107.4417,153.979012,0.8183,8.269,0,11
41,-65.2716,388.561150,0.8142,7.531,0,9
42,-220.0865,379.402631,0.8102,10.086,0,15
43,-382.8383,336.685392,0.8061,8.024,0,23
44,-317.8814,266.661974,0.8021,6.063,0,20
45,-196.8987,232.609219,0.7981,6.272,0,16
46,-286.2404,193.911155,0.7941,10.827,0,20
47,-119.9081,170.559904,0.7901,11.009,0,10
48,10.0000,127.793892,0.7862,0.000,0,1
49,-176.6891,146.977446,0.7822,6.689,0,15
50,-364.2157,131.937799,0.7783,7.898,0,23
51,-544.9453,304.944322,0.7744,6.793,0,31
52,10.0000,201.733307,0.7705,0.000,0,1
53,17.8345,305.879074,0.7667,10.827,0,2
54,-226.6396,234.831508,0.7629,7.377,0,15
55,18.2495,169.747345,0.7590,8.752,0,2
56,16.9021,253.572805,0.7553,10.326,0,3
57,-85.4147,207.413887,0.7515,6.768,0,10
58,18.1362,215.488688,0.7477,6.213,0,3
59,8.4012,203.401608,0.7440,5.329,0,4
60,-112.8928,203.096532,0.7403,9.643,0,8
61,-12.0843,280.733749,0.7366,6.948,0,4
62,9.3205,174.127052,0.7329,6.795,0,2
63,-37.0115,176.886590,0.7292,10.016,0,8
64,-22.5011,163.581161,0.7256,6.253,0,4
65,9.4806,193.551353,0.7219,5.194,0,2
66,-318.9447,154.955463,0.7183,6.389,0,21
67,9.4856,127.115440,0.7147,5.144,0,2
68,9.1654,223.962029,0.7112,8.346,0,2
69,-164.2674,148.486008,0.7076,8.535,0,11
70,-293.3785,160.808761,0.7041,12.162,0,17
71,-91.5821,115.681543,0.7005,13.164,1,8
72,-24.1235,120.774556,0.6970,6.872,0,6
73,8.7645,120.144241,0.6936,12.355,0,2
74,-44.1585,130.141682,0.6901,5.941,0,9
75,-21.1763,103.817694,0.6866,5.881,0,4
76,-13.2119,129.034233,0.6832,6.424,0,6
77,-0.5193,124.560577,0.6798,5.193,0,3
78,18.6540,140.984962,0.6764,6.730,0,2
79,6.2715,113.189114,0.6730,7.457,0,6
80,-1.5510,134.297277,0.6696,15.510,0,3
81,18.3358,111.711037,0.6663,5.547,0,3
82,10.0000,141.036545,0.6630,0.000,0,1
83,18.7659,88.789490,0.6597,12.341,0,1
84,8.4443,108.479599,0.6564,7.779,0,3
85,18.4507,111.154716,0.6531,15.493,0,1
86,0.0000,102.308952,0.6498,0.000,0,2
87,19.0801,130.881210,0.6466,9.199,0,1
88,18.4577,120.060356,0.6433,15.423,0,1
89,-24.0172,119.625067,0.6401,10.043,0,4
90,19.1630,101.912384,0.6369,8.370,0,1
91,-193.9700,130.757455,0.6337,9.925,0,11
92,10.0000,108.566246,0.6306,0.000,0,1
93,18.6420,122.242939,0.6274,6.790,0,2
94,-53.9285,116.411918,0.6243,6.547,0,9
95,7.3082,111.540501,0.6211,8.973,0,4
96,18.4570,100.948296,0.6180,15.430,0,1
97,-86.0788,110.645874,0.6149,5.526,0,11
98,16.9015,106.067635,0.6119,10.328,0,3
99,6.6785,108.144479,0.6088,8.304,0,5
100,-2.1865,138.924408,0.6058,7.288,0,3
101,17.8368,116.342693,0.6027,10.816,0,2
102,-13.4736,105.374990,0.5997,5.789,0,7
103,18.2224,102.051051,0.5967,5.925,0,3
104,-20.8240,110.209953,0.5937,8.240,0,3
105,-24.4447,102.711461,0.5908,7.408,0,6
106,17.9277,106.059324,0.5878,6.908,0,3
107,-3.7504,109.182455,0.5849,7.501,0,5
108,-26.3160,109.396896,0.5820,9.023,0,7
109,8.0390,109.400670,0.5790,9.805,0,3
110,17.8292,130.704220,0.5762,10.854,0,2
111,7.1866,111.494797,0.5733,9.378,0,4
112,19.4837,108.543633,0.5704,5.163,0,1
113,9.1737,118.943188,0.5676,8.263,0,2
114,18.4538,137.507294,0.5647,15.462,0,1
115,-60.4859,107.256291,0.5619,7.837,1,7
116,19.4807,121.223457,0.5591,5.193,0,1
117,-25.9008,114.454820,0.5563,9.835,0,6
118,18.0295,119.257446,0.5535,6.568,0,3
119,16.6553,97.919930,0.5507,8.362,0,4
120,-0.5175,116.323321,0.5480,5.175,0,3
121,8.6296,131.196920,0.5452,4.568,0,4
122,19.1728,120.251450,0.5425,8.272,0,1
123,17.6125,119.910327,0.5398,7.958,0,3
124,10.0000,137.507507,0.5371,0.000,0,1
125,-61.3466,110.054768,0.5344,6.733,0,6
126,8.0245,147.279797,0.5318,6.585,0,4
127,18.2226,116.891810,0.5291,5.925,0,3
128,-10.4208,118.464777,0.5264,4.208,0,4
129,-52.6098,103.321899,0.5238,6.524,0,7
130,19.2767,155.917419,0.5212,7.233,0,1
131,-55.2563,109.585642,0.5186,6.570,0,9
132,-5.6239,119.053204,0.5160,6.239,1,2
133,18.8559,100.934158,0.5134,5.721,0,2
134,-22.8934,97.983392,0.5108,9.645,0,5
135,5.8568,97.621049,0.5083,8.286,0,6
136,-23.9184,122.951907,0.5058,6.531,0,6
137,-1.5653,115.570730,0.5032,5.218,0,3
138,18.8569,110.718513,0.5007,5.715,0,2
139,-23.3978,121.942992,0.4982,6.796,0,7
140,9.1752,127.502708,0.4957,8.248,0,2
141,9.2753,124.548717,0.4932,7.247,0,2
142,7.5055,126.478020,0.4908,6.236,0,5
143,19.0511,120.059681,0.4883,4.744,0,2
144,17.0993,89.853407,0.4859,7.252,0,4
