episode,reward,loss,epsilon,avg_delay,drops,steps
1,-23.6293,0.000000,0.9950,5.185,0,7
2,-66.4355,0.000000,0.9900,6.435,0,10
3,-3.4098,0.000000,0.9851,8.525,0,4
4,-23.4056,0.000000,0.9801,8.514,0,4
5,-256.2360,0.000000,0.9752,7.731,0,21
6,-19.0429,0.000000,0.9704,8.086,1,5
7,-336.4271,504.327350,0.9655,6.318,0,26
8,-90.5305,640.739728,0.9607,8.775,0,12
9,19.4822,548.823853,0.9559,5.178,0,1
10,19.4779,732.466797,0.9511,5.221,0,1
11,-272.8213,588.633815,0.9464,6.748,0,19
12,-25.0621,538.338361,0.9416,7.232,0,7
13,16.9014,465.555003,0.9369,10.329,0,3
14,-365.3668,494.577658,0.9322,9.395,0,27
15,-3.2502,492.518976,0.9276,6.500,0,5
16,-26.2168,483.241430,0.9229,10.361,0,6
17,9.1638,482.901855,0.9183,8.362,0,2
18,14.7991,522.202464,0.9137,8.668,0,6
19,-202.5613,565.912389,0.9092,6.978,0,19
20,-129.5680,493.595994,0.9046,7.360,0,13
21,-680.6152,826.316673,0.9001,6.246,1,36
22,-150.8117,828.835464,0.8956,10.812,0,12
23,-102.8091,766.842797,0.8911,5.618,0,9
24,18.4500,918.676422,0.8867,7.750,0,2
25,17.4471,934.475296,0.8822,6.382,0,4
26,-30.7585,880.183685,0.8778,7.585,0,4
27,-244.5886,816.895361,0.8734,7.294,0,21
28,17.3791,900.922134,0.8691,6.552,0,4
29,-507.6784,759.528707,0.8647,6.799,0,31
30,16.2919,853.935165,0.8604,9.270,0,4
31,-531.0519,1128.597553,0.8561,6.579,0,33
32,-563.7865,1136.696369,0.8518,5.858,1,29
33,-157.2262,1139.365134,0.8475,12.044,0,11
34,-217.5232,1145.600708,0.8433,7.523,0,15
35,19.4817,898.902710,0.8391,5.183,0,1
36,-3.3472,1244.422913,0.8349,5.579,0,6
37,-216.0411,1127.514665,0.8307,7.551,0,15
38,-178.5796,1085.574320,0.8266,6.128,0,15
39,18.5528,1265.564087,0.8224,7.236,0,2
40,16.2409,1009.187354,0.8183,7.518,0,5
41,-60.0000,1464.343765,0.8142,0.000,0,4
42,-67.7695,1204.271362,0.8102,11.099,0,7
43,19.1653,1290.078369,0.8061,8.347,0,1
44,0.5145,1519.213481,0.8021,7.476,1,6
45,-25.6774,1325.823792,0.7981,9.462,0,6
46,19.0749,1786.472900,0.7941,9.251,0,1
47,18.4512,1133.233612,0.7901,7.744,0,2
48,-166.1643,1394.479662,0.7862,6.164,0,14
49,19.4737,1940.227539,0.7822,5.263,0,1
50,-4.9244,1416.164743,0.7783,7.035,0,7
51,-0.3181,1628.006104,0.7744,3.181,0,3
52,-66.9283,1201.287198,0.7705,7.698,0,11
53,17.1033,1419.518148,0.7667,9.656,0,3
54,-23.1392,1326.069987,0.7629,7.848,0,6
55,-90.0000,1248.909045,0.7590,0.000,0,5
56,8.2475,1161.648214,0.7553,8.762,0,3
57,-260.7783,1347.669006,0.7515,6.340,2,17
58,-12.0665,1228.350693,0.7477,6.888,0,4
59,-56.5386,1249.839003,0.7440,8.173,0,9
60,19.2779,1312.156128,0.7403,7.221,0,1
61,16.4951,1067.334915,0.7366,8.762,0,4
62,-281.6085,1285.685929,0.7329,7.255,0,19
63,-13.3012,1495.285168,0.7292,8.253,0,5
64,-902.5413,1385.501063,0.7256,7.568,0,50
65,-105.0220,1523.753052,0.7219,6.278,0,12
66,18.2263,1486.821370,0.7183,5.912,0,3
67,-61.8130,1253.777283,0.7147,4.533,0,6
68,-74.2531,1684.994995,0.7112,7.089,0,9
69,-73.2165,1530.468674,0.7076,6.433,0,8
70,-153.6269,1322.202570,0.7041,7.254,0,10
71,10.0000,1135.479858,0.7005,0.000,0,1
72,-1.6798,1320.208516,0.6970,5.599,0,3
73,-3.7304,1295.483439,0.6936,9.326,0,6
74,-180.3716,1493.701564,0.6901,6.715,1,14
75,-204.4707,1374.208252,0.6866,6.387,0,13
76,-0.8250,1570.334757,0.6832,8.250,0,3
77,-44.4269,1471.766690,0.6798,6.324,0,9
78,17.4309,1366.074341,0.6764,12.845,0,2
79,-208.5390,1490.175310,0.6730,6.099,0,18
80,-516.1340,1325.361155,0.6696,7.045,1,32
81,19.3662,1784.743774,0.6663,6.338,0,1
82,17.9369,1359.388885,0.6630,10.315,0,2
83,-25.4950,1565.098929,0.6597,7.850,0,7
84,-410.8708,1739.604070,0.6564,7.935,1,24
85,-660.2527,1656.269223,0.6531,7.427,1,38
86,-115.7096,1671.060034,0.6498,6.344,0,10
87,9.4829,1930.316589,0.6466,5.171,0,2
88,-44.1538,1398.908229,0.6433,5.934,0,7
89,-403.0861,1597.013324,0.6401,7.270,0,23
90,-54.7497,1592.546509,0.6369,6.785,0,8
91,-881.8903,1539.380806,0.6337,6.508,0,50
92,-396.1968,1442.898517,0.6306,6.479,0,27
93,-752.5467,1411.861660,0.6274,6.559,1,43
94,-312.5684,1613.338244,0.6243,6.615,0,23
95,-2.5980,1613.336868,0.6211,6.495,0,4
96,-641.1664,1507.460975,0.6180,6.979,0,31
97,-521.0541,1493.414152,0.6149,7.519,0,32
98,-984.3614,1349.386227,0.6119,7.340,1,50
99,17.9323,1519.579061,0.6088,6.892,0,3
100,-68.0656,1523.125954,0.6058,7.332,0,11
101,18.0261,1410.707723,0.6027,6.580,0,3
102,19.0974,1371.984619,0.5997,4.513,0,2
